user,sentiment,subjectivity,tweets
TheDPA,nan,nan,[]
TimesFreePress,nan,nan,[]
Chattanoogancom,nan,nan,[]
ChattaPulse,nan,nan,[]
LeafChronicle,nan,nan,[]
thedailyherald,nan,nan,[]
leader_news,nan,nan,[]
crossvillenews,nan,nan,[]
rheaheraldnews,nan,nan,[]
dicksonherald,nan,nan,[]
StateGazette,nan,nan,[]
ElizStarNews,nan,nan,[]
erwinrecord,nan,nan,[]
FVObserver,nan,nan,[]
elkvalleytimes,nan,nan,[]
tennessean,nan,nan,[]
wherald,nan,nan,[]
tennessean,nan,nan,[]
tennessean,nan,nan,[]
JSunNews,nan,nan,[]
standardbanner,nan,nan,[]
JCPress,nan,nan,[]
tricities_com,nan,nan,[]
timesnewsonline,nan,nan,[]
KnoxDailySun,nan,nan,[]
knoxnews,nan,nan,[]
metropulse,nan,nan,[]
mundohispanotn,nan,nan,[]
WilsonCoNews,nan,nan,[]
wilsonpostnews,nan,nan,[]
ocnews38570,nan,nan,[]
TennesseeBuzz,nan,nan,[]
manchestertimes,nan,nan,[]
tsinews,nan,nan,[]
WeakleyCoPress,nan,nan,[]
DailyTimes,nan,nan,[]
memphisnews,nan,nan,[]
MBJMemphis,nan,nan,[]
memphisdaily,nan,nan,[]
memphisflyer,nan,nan,[]
CitizenTribune,nan,nan,[]
MJ_Chronicle,nan,nan,[]
MtJulietNews,nan,nan,[]
dnj_com,nan,nan,[]
Mboro_Post,nan,nan,[]
TheCityPaper,nan,nan,[]
mundohispanotn,nan,nan,[]
nashvillebiz,nan,nan,[]
Nashvillescene,nan,nan,[]
tennessean,nan,nan,[]
tn_tribune,nan,nan,[]
parispi,nan,nan,[]
RogReview,nan,nan,[]
themtnpress,nan,nan,[]
times_gazette,nan,nan,[]
RobCoTimes,nan,nan,[]
tullahomanews,nan,nan,[]
HeraldChronicle,nan,nan,[]
Nashvillescene,nan,nan,[]
cityviewmag,nan,nan,[]
TheAllState,nan,nan,[]
easttennessean,nan,nan,[]
MTSUSidelines,nan,nan,[]
tsuthemeter,nan,nan,[]
DailyHelmsman,nan,nan,[]
UTC_Echo,nan,nan,[]
ThePacer,nan,nan,[]
InsideVandy,nan,nan,[]
